id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
16,1,1,1,https://jtxy.beihua.edu.cn,jtxy.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,土木与交通学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
39,1,1,1,http://jtxy.beihua.edu.cn,jtxy.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,土木与交通学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
88,1,1,1,https://jydd.beihua.edu.cn,jydd.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
125,1,1,1,http://jydd.beihua.edu.cn,jydd.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
55,1,1,1,https://jyxy.beihua.edu.cn,jyxy.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,医学技术学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
175,1,1,1,http://jyxy.beihua.edu.cn,jyxy.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,医学技术学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
41,1,1,1,https://kjc.beihua.edu.cn,kjc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学科学技术处,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
82,1,1,1,http://kjc.beihua.edu.cn,kjc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学科学技术处,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
78,1,1,1,https://kyc.beihua.edu.cn,kyc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
158,1,1,1,http://kyc.beihua.edu.cn,kyc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
6,1,1,1,https://law.beihua.edu.cn,law.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学法学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
